Date,Open,High,Low,Close,Adj Close,Volume
2017-01-10,5027.500000,5049.830078,5016.189941,5035.169922,5035.169922,1796500000
2017-01-11,5033.879883,5050.209961,5012.649902,5050.209961,5050.209961,1954720000
2017-01-12,5029.279785,5044.370117,4995.069824,5041.430176,5041.430176,1801750000
2017-01-13,5047.560059,5066.950195,5045.919922,5059.509766,5059.509766,1605110000
2017-01-17,5043.069824,5053.200195,5029.609863,5044.649902,5044.649902,1757030000
2017-01-18,5050.259766,5058.200195,5039.180176,5055.850098,5055.850098,1683320000
2017-01-19,5061.100098,5078.410156,5041.209961,5051.169922,5051.169922,1805710000
2017-01-20,5070.149902,5085.339844,5050.020020,5063.200195,5063.200195,1740320000
2017-01-23,5055.970215,5073.240234,5035.490234,5065.700195,5065.700195,1650290000
2017-01-24,5079.609863,5108.220215,5068.370117,5101.060059,5101.060059,1805370000
2017-01-25,5132.870117,5153.180176,5129.000000,5151.470215,5151.470215,1959950000
2017-01-26,5164.120117,5168.200195,5148.850098,5156.919922,5156.919922,1827490000
2017-01-27,5169.490234,5172.430176,5150.180176,5168.060059,5168.060059,1663400000
2017-01-30,5146.410156,5146.879883,5098.339844,5129.330078,5129.330078,1777090000
2017-01-31,5107.470215,5116.799805,5086.330078,5116.770020,5116.770020,2041480000
2017-02-01,5157.830078,5162.459961,5128.899902,5152.689941,5152.689941,2223560000
2017-02-02,5141.270020,5162.560059,5128.759766,5147.700195,5147.700195,2073980000
2017-02-03,5153.609863,5165.470215,5147.580078,5161.600098,5161.600098,1786860000
2017-02-06,5154.180176,5167.959961,5148.060059,5167.959961,5167.959961,1732280000
2017-02-07,5178.850098,5196.270020,5174.339844,5185.879883,5185.879883,1919100000
2017-02-08,5176.500000,5201.569824,5168.979980,5196.580078,5196.580078,1945060000
2017-02-09,5200.169922,5221.620117,5196.069824,5212.160156,5212.160156,1943840000
2017-02-10,5219.810059,5234.270020,5212.839844,5226.689941,5226.689941,1852010000
2017-02-13,5242.490234,5262.419922,5241.000000,5256.819824,5256.819824,1840010000
2017-02-14,5251.359863,5271.100098,5238.689941,5271.069824,5271.069824,1945160000
2017-02-15,5266.120117,5304.339844,5264.439941,5302.390137,5302.390137,2083660000
2017-02-16,5306.379883,5316.790039,5287.540039,5300.640137,5300.640137,1943600000
2017-02-17,5295.490234,5324.720215,5291.700195,5324.720215,5324.720215,1875580000
2017-02-21,5334.569824,5353.160156,5330.470215,5350.729980,5350.729980,1935110000
2017-02-22,5345.180176,5354.729980,5335.799805,5352.129883,5352.129883,1872330000
2017-02-23,5358.029785,5358.529785,5309.990234,5332.370117,5332.370117,1879670000
2017-02-24,5305.229980,5343.310059,5304.009766,5343.310059,5343.310059,1683280000
2017-02-27,5330.560059,5347.879883,5322.140137,5347.549805,5347.549805,1876090000
2017-02-28,5344.180176,5347.470215,5316.700195,5330.310059,5330.310059,2298380000
2017-03-01,5368.649902,5398.430176,5355.379883,5390.990234,5390.990234,2210360000
2017-03-02,5386.339844,5387.729980,5355.529785,5363.259766,5363.259766,2040770000
2017-03-03,5355.209961,5373.479980,5344.479980,5373.479980,5373.479980,1852130000
2017-03-06,5352.609863,5368.270020,5338.609863,5360.310059,5360.310059,1767840000
2017-03-07,5348.200195,5373.259766,5341.430176,5351.279785,5351.279785,1822000000
2017-03-08,5351.350098,5375.770020,5348.729980,5359.810059,5359.810059,1810480000
2017-03-09,5355.779785,5370.660156,5336.080078,5363.979980,5363.979980,1883930000
2017-03-10,5390.459961,5394.660156,5364.100098,5385.899902,5385.899902,1982150000
2017-03-13,5387.729980,5396.390137,5382.020020,5394.569824,5394.569824,1799340000
2017-03-14,5382.790039,5384.879883,5360.700195,5382.169922,5382.169922,1663170000
2017-03-15,5392.479980,5426.839844,5375.879883,5416.250000,5416.250000,1952690000
2017-03-16,5421.459961,5423.660156,5399.270020,5412.080078,5412.080078,1766980000
2017-03-17,5413.470215,5423.279785,5406.810059,5408.759766,5408.759766,3184130000
2017-03-20,5406.020020,5426.470215,5400.160156,5413.310059,5413.310059,1730550000
2017-03-21,5433.279785,5439.580078,5328.709961,5332.529785,5332.529785,2192090000
2017-03-22,5332.640137,5372.270020,5327.250000,5367.549805,5367.549805,1857680000
2017-03-23,5356.709961,5375.430176,5346.299805,5355.140137,5355.140137,1742640000
2017-03-24,5376.740234,5392.279785,5345.939941,5364.000000,5364.000000,1841920000
2017-03-27,5320.959961,5383.220215,5316.020020,5374.270020,5374.270020,1670760000
2017-03-28,5371.899902,5422.250000,5363.290039,5407.209961,5407.209961,1820860000
2017-03-29,5410.140137,5433.359863,5405.100098,5430.270020,5430.270020,1718680000
2017-03-30,5430.310059,5446.509766,5425.299805,5439.740234,5439.740234,1723770000
2017-03-31,5430.990234,5451.500000,5427.500000,5436.229980,5436.229980,1902800000
2017-04-03,5440.200195,5453.439941,5403.310059,5432.200195,5432.200195,1854200000
2017-04-04,5415.529785,5441.339844,5415.299805,5440.410156,5440.410156,1790840000
2017-04-05,5447.270020,5479.859863,5409.040039,5418.520020,5418.520020,2204490000
2017-04-06,5423.649902,5435.060059,5407.870117,5420.879883,5420.879883,1845800000
2017-04-07,5420.939941,5434.180176,5400.080078,5418.370117,5418.370117,1692150000
2017-04-10,5423.569824,5442.709961,5406.580078,5421.680176,5421.680176,1630070000
2017-04-11,5413.910156,5422.790039,5359.140137,5398.399902,5398.399902,1821650000
2017-04-12,5394.609863,5399.549805,5370.240234,5377.029785,5377.029785,1658960000
2017-04-13,5370.689941,5398.990234,5353.589844,5353.589844,5353.589844,1581870000
2017-04-17,5369.209961,5399.200195,5367.589844,5399.200195,5399.200195,1381290000
2017-04-18,5383.740234,5405.540039,5377.910156,5391.660156,5391.660156,1608870000
2017-04-19,5416.299805,5431.000000,5392.279785,5399.640137,5399.640137,1752620000
2017-04-20,5422.470215,5455.879883,5413.319824,5443.529785,5443.529785,1749110000
2017-04-21,5447.279785,5450.810059,5430.220215,5442.049805,5442.049805,1723210000
2017-04-24,5503.270020,5513.569824,5494.459961,5508.029785,5508.029785,1836570000
2017-04-25,5523.479980,5557.930176,5521.520020,5548.189941,5548.189941,1895430000
2017-04-26,5553.600098,5563.970215,5537.990234,5541.089844,5541.089844,1894210000
2017-04-27,5555.270020,5573.259766,5551.549805,5571.279785,5571.279785,1876700000
2017-04-28,5598.470215,5600.000000,5575.209961,5583.529785,5583.529785,1995160000
2017-05-01,5602.439941,5640.479980,5600.310059,5629.629883,5629.629883,1757000000
2017-05-02,5642.410156,5645.080078,5625.490234,5644.069824,5644.069824,2146730000
2017-05-03,5624.879883,5629.779785,5608.160156,5625.160156,5625.160156,2149360000
2017-05-04,5623.569824,5633.490234,5606.049805,5626.319824,5626.319824,2056270000
2017-05-05,5640.779785,5646.089844,5619.600098,5646.089844,5646.089844,1899570000
